time_of_entry,medicine_id_ndc,generic_medicine_name,brand_name,manufacturer_name,dosage_amount,dosage_unit,medication_form,order_unit_description,units_per_order_unit,is_order_unit_openable,price_per_unit_usd,last_restock_date,restock_frequency,quantity_last_restock_units,current_on_hand_units,historically_stocked,currently_backordered,available_suppliers,stock_update_reason,daily_usage_avg_units,monthly_usage_total_units,high_usage_variability,is_anomaly,anomaly_type
2026-01-16 16:42:00,39256-3286-95,sertraline,Zoloft,Teva Pharmaceuticals,10.0,mcg/ml,injection_vials,vial,1,true,34.04,2025-12-08,weekly,21,14,true,true,Cardinal Health,DISPENSED,1.9,57,false,false,
2026-01-17 10:03:00,64987-4611-58,amiodarone,Cordarone,B. Braun Medical,750.0,mg,tablets,bottle,30,true,0.16,2025-12-22,weekly,143,71,true,false,McKesson,DISPENSED,13.53,406,false,false,
2026-01-16 13:50:00,70217-9785-16,insulin regular,Novolin R,Amneal Pharmaceuticals,25.0,mcg,aerosol,box,12,false,14.29,2025-12-22,weekly,40,36,true,false,Medline,DISPENSED,4.07,122,false,false,
2026-01-16 15:11:00,20458-4814-13,azithromycin,Zithromax,Zydus Pharmaceuticals,80.0,mg,topical,tube,1,true,16.38,2025-12-15,weekly,71,36,true,false,"Cardinal Health, McKesson, Medline",DISPENSED,5.8,174,false,false,
2026-01-17 22:23:00,70589-7216-35,sertraline,Zoloft,Dr. Reddy's Laboratories,25.0,mg,tablets,box,100,true,1.65,2025-12-22,weekly,100,59,true,true,Henry Schein,RECEIVED,6.6,198,false,false,
2026-01-17 19:44:00,51245-4483-84,levothyroxine,Levoxyl,Apotex Corp.,1000.0,mg,tablets,bottle,500,true,1.13,2025-12-21,weekly,500,20,true,false,Henry Schein,DISPENSED,3.27,98,true,false,
2026-01-16 15:56:00,76784-9085-12,potassium chloride,Klor-Con,Eli Lilly and Company,20.0,mg,tablets,box,10,true,0.19,2025-12-22,weekly,76,21,true,false,Medline,DISPENSED,7.7,231,false,false,
2026-01-17 13:27:00,99166-2876-88,metformin,Glucophage,Dr. Reddy's Laboratories,25.0,mcg,capsule,box,30,true,1.14,2025-12-07,weekly,30,17,false,false,AmerisourceBergen,RECEIVED,3.0,90,false,false,
2026-01-17 23:54:00,49117-9317-78,fluconazole,Diflucan,Cipla USA,500.0,units/ml,iv_bags,bag,1,false,115.54,2025-12-13,weekly,87,49,true,true,"AmerisourceBergen, Cardinal Health",DISPENSED,7.2,216,false,false,
2026-01-17 08:44:00,21226-8962-09,isoniazid,Nydrazid,Viatris (Mylan),2.0,mg/ml,syringe,syringe,1,true,16.45,2025-12-06,weekly,31,25,true,false,Cardinal Health,RECEIVED,3.3,99,false,false,
2026-01-18 03:09:00,36365-6107-52,lisinopril,Prinivil,Dr. Reddy's Laboratories,200.0,mcg/ml,injection_vials,box,50,true,27.28,2025-12-15,weekly,141,150,true,false,"AmerisourceBergen, McKesson",RECEIVED,11.43,343,false,false,
