medicine_id_ndc,year_month,generic_medicine_name,brand_name,manufacturer_name,dosage_amount,dosage_unit,medication_form,order_unit_description,units_per_order_unit,is_order_unit_openable,price_per_unit_usd,beginning_inventory_units,units_received_this_month,ending_inventory_units,restock_events_count,units_used_this_month,average_daily_usage_units,monthly_usage_trend,usage_variability_flag,currently_backordered,available_suppliers,historically_stocked
95181-9928-63,2025-01,warfarin,Warfarin,Mylan,1.0,mg,tablets,bottle,60,True,0.48,4688,1440,3151,4,2977,96,stable,True,False,Cardinal,True
95181-9928-63,2025-02,warfarin,Warfarin,Mylan,1.0,mg,tablets,bottle,60,True,0.48,3151,3300,3595,4,2856,102,stable,True,False,Cardinal,True
95181-9928-63,2025-03,warfarin,Warfarin,Mylan,1.0,mg,tablets,bottle,60,True,0.48,3595,2100,2880,4,2815,91,stable,True,False,Cardinal,True
95181-9928-63,2025-04,warfarin,Warfarin,Mylan,1.0,mg,tablets,bottle,60,True,0.48,2880,2100,2681,3,2299,77,decreasing,True,False,Cardinal,True
95181-9928-63,2025-05,warfarin,Warfarin,Mylan,1.0,mg,tablets,bottle,60,True,0.48,2681,2280,2679,3,2282,74,stable,True,False,Cardinal,True
95181-9928-63,2025-06,warfarin,Warfarin,Mylan,1.0,mg,tablets,bottle,60,True,0.48,2679,2940,3033,3,2586,86,increasing,True,False,Cardinal,True
95181-9928-63,2025-07,warfarin,Warfarin,Mylan,1.0,mg,tablets,bottle,60,True,0.48,3033,1620,2524,3,2129,69,decreasing,True,False,Cardinal,True
95181-9928-63,2025-08,warfarin,Warfarin,Mylan,1.0,mg,tablets,bottle,60,True,0.48,2524,1320,2064,5,1780,57,decreasing,True,False,Cardinal,True
95181-9928-63,2025-09,warfarin,Warfarin,Mylan,1.0,mg,tablets,bottle,60,True,0.48,2064,1436,1860,5,1640,55,stable,True,False,Cardinal,True
95181-9928-63,2025-10,warfarin,Warfarin,Mylan,1.0,mg,tablets,bottle,60,True,0.48,1860,1140,1333,3,1667,54,stable,True,False,Cardinal,True
95181-9928-63,2025-11,warfarin,Warfarin,Mylan,1.0,mg,tablets,bottle,60,True,0.48,1333,2460,2100,4,1693,56,stable,True,False,Cardinal,True
95181-9928-63,2025-12,warfarin,Warfarin,Mylan,1.0,mg,tablets,bottle,60,True,0.48,2100,600,1445,4,1255,40,decreasing,True,False,Cardinal,True
22156-7224-22,2025-01,vancomycin,VancomycinAid,Mylan,1000.0,mg,injection_vials,box,10,True,64.96,856,430,696,3,590,19,stable,False,False,"Cardinal, AmerisourceBergen",True
22156-7224-22,2025-02,vancomycin,VancomycinAid,Mylan,1000.0,mg,injection_vials,box,10,True,64.96,696,610,738,4,568,20,stable,False,False,"Cardinal, AmerisourceBergen",True
22156-7224-22,2025-03,vancomycin,VancomycinAid,Mylan,1000.0,mg,injection_vials,box,10,True,64.96,738,340,579,3,499,16,decreasing,False,False,"Cardinal, AmerisourceBergen",True
22156-7224-22,2025-04,vancomycin,VancomycinAid,Mylan,1000.0,mg,injection_vials,box,10,True,64.96,579,460,596,3,443,15,decreasing,False,False,"Cardinal, AmerisourceBergen",True
22156-7224-22,2025-05,vancomycin,VancomycinAid,Mylan,1000.0,mg,injection_vials,box,10,True,64.96,596,310,451,3,455,15,stable,False,False,"Cardinal, AmerisourceBergen",True
22156-7224-22,2025-06,vancomycin,VancomycinAid,Mylan,1000.0,mg,injection_vials,box,10,True,64.96,451,530,566,5,415,14,stable,False,False,"Cardinal, AmerisourceBergen",True
22156-7224-22,2025-07,vancomycin,VancomycinAid,Mylan,1000.0,mg,injection_vials,box,10,True,64.96,566,360,510,3,416,13,stable,False,False,"Cardinal, AmerisourceBergen",True
22156-7224-22,2025-08,vancomycin,VancomycinAid,Mylan,1000.0,mg,injection_vials,box,10,True,64.96,510,380,530,5,360,12,decreasing,False,False,"Cardinal, AmerisourceBergen",True
22156-7224-22,2025-09,vancomycin,VancomycinAid,Mylan,1000.0,mg,injection_vials,box,10,True,64.96,530,260,425,5,365,12,stable,False,False,"Cardinal, AmerisourceBergen",True
22156-7224-22,2025-10,vancomycin,VancomycinAid,Mylan,1000.0,mg,injection_vials,box,10,True,64.96,425,310,398,5,337,11,stable,False,False,"Cardinal, AmerisourceBergen",True
22156-7224-22,2025-11,vancomycin,VancomycinAid,Mylan,1000.0,mg,injection_vials,box,10,True,64.96,398,250,371,4,277,9,decreasing,False,False,"Cardinal, AmerisourceBergen",True
22156-7224-22,2025-12,vancomycin,VancomycinAid,Mylan,1000.0,mg,injection_vials,box,10,True,64.96,371,74,207,2,238,8,decreasing,False,False,"Cardinal, AmerisourceBergen",True
35203-2139-15,2025-01,gentamicin,GentamicinAid,Novartis,40.0,mg/ml,injection_vials,box,50,True,90.01,240,450,375,4,315,10,stable,False,False,"McKesson, Cardinal, AmerisourceBergen",True
35203-2139-15,2025-02,gentamicin,GentamicinAid,Novartis,40.0,mg/ml,injection_vials,box,50,True,90.01,375,550,489,3,436,16,increasing,False,False,"McKesson, Cardinal, AmerisourceBergen",True
35203-2139-15,2025-03,gentamicin,GentamicinAid,Novartis,40.0,mg/ml,injection_vials,box,50,True,90.01,489,200,457,2,232,7,decreasing,False,False,"McKesson, Cardinal, AmerisourceBergen",True
35203-2139-15,2025-04,gentamicin,GentamicinAid,Novartis,40.0,mg/ml,injection_vials,box,50,True,90.01,457,50,301,2,206,7,decreasing,False,False,"McKesson, Cardinal, AmerisourceBergen",True
35203-2139-15,2025-05,gentamicin,GentamicinAid,Novartis,40.0,mg/ml,injection_vials,box,50,True,90.01,301,250,298,2,253,8,increasing,False,False,"McKesson, Cardinal, AmerisourceBergen",True
35203-2139-15,2025-06,gentamicin,GentamicinAid,Novartis,40.0,mg/ml,injection_vials,box,50,True,90.01,298,150,225,1,223,7,decreasing,False,False,"McKesson, Cardinal, AmerisourceBergen",True
35203-2139-15,2025-07,gentamicin,GentamicinAid,Novartis,40.0,mg/ml,injection_vials,box,50,True,90.01,225,350,301,4,274,9,increasing,False,False,"McKesson, Cardinal, AmerisourceBergen",True
35203-2139-15,2025-08,gentamicin,GentamicinAid,Novartis,40.0,mg/ml,injection_vials,box,50,True,90.01,301,183,251,3,233,8,decreasing,False,False,"McKesson, Cardinal, AmerisourceBergen",True
35203-2139-15,2025-09,gentamicin,GentamicinAid,Novartis,40.0,mg/ml,injection_vials,box,50,True,90.01,251,200,250,2,201,7,decreasing,False,False,"McKesson, Cardinal, AmerisourceBergen",True
35203-2139-15,2025-10,gentamicin,GentamicinAid,Novartis,40.0,mg/ml,injection_vials,box,50,True,90.01,250,300,286,3,264,9,increasing,False,False,"McKesson, Cardinal, AmerisourceBergen",True
35203-2139-15,2025-11,gentamicin,GentamicinAid,Novartis,40.0,mg/ml,injection_vials,box,50,True,90.01,286,550,448,5,388,13,increasing,False,False,"McKesson, Cardinal, AmerisourceBergen",True
35203-2139-15,2025-12,gentamicin,GentamicinAid,Novartis,40.0,mg/ml,injection_vials,box,50,True,90.01,448,292,402,3,338,11,decreasing,False,False,"McKesson, Cardinal, AmerisourceBergen",True
